docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
105-038-000-000-1463738370;000-000;105-025;709;120-050;681;135-025;673;1726
105-038-000-000-1463738380;000-000;105-025;951;135-025;690;128-013;685;1792
105-038-000-000-1463738390;000-000;120-050;794;135-025;684;128-013;626;1685
105-038-000-000-1463738400;000-000;135-025;705;105-025;670;098-013;653;1629
105-038-000-000-1463738410;000-000;105-025;970;120-025;780;113-038;705;1851
105-038-000-000-1463738420;000-000;105-025;848;120-050;711;135-025;699;1798
105-038-000-000-1463738430;000-000;135-025;672;120-050;664;098-038;624;1852
105-038-000-000-1463738440;000-000;135-025;724;120-050;676;128-013;656;1682
105-038-000-000-1463738450;000-000;105-025;991;120-050;741;135-025;663;1794
105-038-000-000-1463738460;000-000;105-025;718;075-025;699;090-025;655;1739
105-038-000-000-1463738470;000-000;105-025;923;135-025;650;105-050;638;1626
105-038-000-000-1463738480;000-000;105-025;860;120-050;773;120-025;742;1789
105-038-000-000-1463738490;000-000;135-025;715;120-050;710;128-013;615;1796
105-038-000-000-1463738500;000-000;105-025;917;135-025;663;120-050;652;1793
105-038-000-000-1463738510;000-000;135-025;794;105-050;678;128-013;668;1470
105-038-000-000-1463738520;000-000;120-050;909;135-025;725;105-025;690;1677
105-038-000-000-1463738530;000-000;135-025;721;128-013;690;105-025;667;1684
105-038-000-000-1463738540;000-000;105-025;779;135-025;690;090-025;645;1683
105-038-000-000-1463738550;000-000;105-025;755;135-025;721;120-050;657;1742
105-038-000-000-1463738560;000-000;135-025;757;105-050;635;143-013;603;1415
105-038-000-000-1463738570;000-000;105-025;750;120-050;696;105-050;663;1681
105-038-000-000-1463738580;000-000;135-025;764;128-013;671;105-050;658;1577
105-038-000-000-1463738590;000-000;120-050;776;135-025;703;128-013;680;1739
105-038-000-000-1463738600;000-000;135-025;779;105-050;675;128-013;629;1420
105-038-000-000-1463738610;000-000;105-025;829;135-025;712;120-050;679;1619
105-038-000-000-1463738620;000-000;105-025;749;135-025;728;105-050;662;1576
105-038-000-000-1463738630;000-000;135-025;687;105-050;674;038-013;630;1467
105-038-000-000-1463738640;000-000;105-025;761;038-013;647;060-050;629;1798
105-038-000-000-1463738650;000-000;105-025;779;128-013;684;105-000;682;1851
105-038-000-000-1463738660;000-000;105-025;765;135-025;708;113-038;663;1684
105-038-000-000-1463738670;000-000;105-025;821;120-050;697;135-025;650;1734
105-038-000-000-1463738680;000-000;120-050;900;053-013;704;113-038;697;1906
105-038-000-000-1463738690;000-000;105-025;830;135-025;673;120-050;655;1680
105-038-000-000-1463738700;000-000;105-025;721;135-025;707;060-050;664;1682
105-038-000-000-1463738710;000-000;105-025;819;120-050;749;135-025;679;1730
105-038-000-000-1463738720;000-000;105-025;933;120-025;766;135-025;720;1847
105-038-000-000-1463738730;000-000;135-025;747;105-050;685;128-013;658;1576
105-038-000-000-1463738740;000-000;105-025;717;135-025;692;113-038;649;1629
105-038-000-000-1463738750;000-000;105-025;731;060-050;676;090-025;674;1794
105-038-000-000-1463738760;000-000;120-050;812;135-025;687;128-013;686;1793
105-038-000-000-1463738770;000-000;135-025;701;128-013;680;105-050;675;1627
105-038-000-000-1463738780;000-000;105-050;723;120-050;687;128-013;639;1520
105-038-000-000-1463738790;000-000;105-025;778;090-025;694;075-025;668;1855
105-038-000-000-1463738800;000-000;105-025;981;120-050;779;120-025;718;2156
105-038-000-000-1463738810;000-000;105-025;873;083-038;651;113-038;650;1916
105-038-000-000-1463738820;000-000;105-025;981;120-050;720;113-038;672;1793
105-038-000-000-1463738830;000-000;105-025;895;135-025;744;105-050;661;1571
105-038-000-000-1463738840;000-000;105-025;849;075-025;842;098-038;683;1967
105-038-000-000-1463738850;000-000;105-025;725;135-025;709;105-050;644;1629
105-038-000-000-1463738860;000-000;105-025;733;120-050;707;135-025;669;1735
105-038-000-000-1463738870;000-000;105-025;946;113-038;671;083-038;651;1915
105-038-000-000-1463738880;000-000;135-025;691;105-025;667;105-050;660;1683
105-038-000-000-1463738890;000-000;105-025;701;105-050;679;090-025;657;1572
105-038-000-000-1463738900;000-000;105-025;775;135-025;749;105-050;676;1523
105-038-000-000-1463738910;000-000;105-025;752;135-025;672;105-000;654;1622
105-038-000-000-1463738920;000-000;120-050;840;105-025;736;135-025;684;1791
105-038-000-000-1463738930;000-000;105-025;785;120-025;690;128-013;683;1682
105-038-000-000-1463738940;000-000;105-025;960;120-050;875;135-025;676;1852
