docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
X2-135-025-1463734090;135-025;135-025;733;180-050;723;120-100;699;555
B102-030-000-1463734220;030-000;030-000;1283;060-000;938;030-050;843;921
X25-015-075-1463733970;015-075;015-075;832;000-050;775;015-050;667;746
X6-015-025-1463734300;015-025;015-025;920;015-050;700;038-038;668;430
B108-053-013-1463736840;053-013;053-013;707;083-013;675;105-050;673;594
MB315-120-100-1463733920;120-100;120-100;813;113-038;668;135-025;665;477
B107-068-013-1463737080;068-013;083-013;726;053-013;680;098-038;672;592
X4-075-025-1463734190;075-025;075-025;713;105-050;708;053-013;693;450
MB276-150-050-1463737490;150-050;150-050;1333;173-038;702;135-075;690;881
X1-180-025-1463737920;180-025;165-025;728;143-013;723;180-025;690;700
X25-015-050-1463737470;015-050;015-050;771;038-038;691;015-025;690;614
B108-090-100-1463735000;090-100;090-100;761;053-013;727;105-025;700;628
X23-075-075-1463734500;075-075;090-100;734;060-050;697;053-013;695;476
X3-105-025-1463736990;105-025;120-100;729;135-025;691;143-013;677;532
X1-165-025-1463736460;165-025;165-025;788;173-038;723;143-038;674;708
B11-180-000-1463734950;180-000;180-000;1410;120-000;721;143-013;679;1328
B11-180-000-1463736540;180-000;180-000;1442;143-013;676;135-000;675;1173
X4-075-025-1463737120;075-025;053-013;737;105-025;700;143-013;685;625
MB508-030-050-1463736460;030-050;030-050;1032;053-013;695;045-000;675;752
B108-090-100-1463733890;090-100;090-050;769;090-100;714;053-013;709;483
MB291-180-100-1463734220;180-100;180-100;1512;023-038;669;053-013;665;859
MB315-120-100-1463737930;120-100;120-100;750;105-050;667;090-100;663;427
X20-165-075-1463735100;165-075;150-025;654;105-050;652;165-025;651;185
B108-090-100-1463734700;090-100;090-100;750;053-013;732;060-050;707;510
B107-150-100-1463733830;150-100;150-100;738;090-100;694;135-075;666;670
MB315-120-100-1463736870;120-100;120-100;813;113-038;668;135-025;665;477
B11-180-000-1463738210;180-000;180-000;1398;143-013;672;053-013;670;1326
B106-000-050-1463734790;000-050;000-050;1099;015-050;720;038-038;643;734
B17-060-000-1463736930;060-000;060-000;1099;068-038;714;053-013;707;786
B106-083-013-1463736760;083-013;060-000;718;083-013;709;090-000;707;822
MB291-180-100-1463738100;180-100;180-100;1512;023-038;669;053-013;665;859
X25-015-075-1463734110;015-075;015-050;764;053-013;667;030-050;662;588
X5-045-025-1463734990;045-025;015-050;778;023-013;675;038-038;670;644
B104-113-038-1463737850;113-038;143-013;725;135-025;691;135-050;676;644
X2-135-025-1463737030;135-025;120-100;728;135-025;710;105-025;702;533
X22-105-075-1463734390;105-075;053-013;694;128-038;684;143-013;675;820
B106-000-050-1463734330;000-050;000-050;1045;015-075;723;015-050;690;772
B105-060-050-1463734250;060-050;053-013;719;090-050;698;090-100;685;537
X25-015-075-1463735080;015-075;015-050;678;053-013;654;015-075;653;649
X1-165-025-1463736770;165-025;173-038;736;135-075;712;143-038;708;763
X21-135-050-1463738080;135-050;143-013;741;053-013;674;135-050;662;711
B105-098-013-1463736520;098-013;053-013;716;060-050;705;105-050;689;480
B11-180-000-1463734250;180-000;180-000;1399;143-013;677;053-013;676;1358
X6-015-025-1463734620;015-025;015-025;920;015-050;700;038-038;668;430
B105-098-038-1463737930;098-038;090-050;742;053-013;708;105-050;698;508
X1-165-025-1463734430;165-025;158-038;740;173-038;718;165-050;689;669
B17-060-000-1463736610;060-000;060-000;1050;053-013;705;068-038;682;823
B108-090-100-1463734040;090-100;090-100;801;053-013;716;105-025;681;510
X4-090-025-1463737990;090-025;075-025;734;053-013;725;105-050;695;479
X4-075-025-1463734220;075-025;053-013;742;090-025;710;090-100;698;481
B104-120-050-1463734440;120-050;143-013;711;135-025;700;120-050;687;650
X6-015-025-1463734990;015-025;015-025;920;015-050;700;038-038;668;430
MB276-150-050-1463734360;150-050;150-050;1282;173-038;787;143-013;698;916
MB315-120-100-1463734260;120-100;120-100;917;135-025;666;090-100;654;423
X22-105-050-1463738060;105-050;105-050;720;075-025;712;053-013;668;331
X6-015-025-1463737130;015-025;083-013;693;060-050;681;045-025;680;560
MB291-180-100-1463736440;180-100;180-100;1539;053-013;671;023-038;669;818
B14-000-100-1463734380;000-100;000-100;1331;038-038;676;105-050;669;1041
X5-045-025-1463735010;045-025;053-013;701;045-025;696;015-050;695;624
X3-105-025-1463734790;105-025;090-100;732;053-013;717;105-025;711;627
MB315-120-100-1463736680;120-100;120-100;813;113-038;668;135-025;665;477
B11-180-000-1463734910;180-000;180-000;1387;053-013;681;090-100;668;1381
X6-015-025-1463735020;015-025;015-025;932;015-050;697;038-038;652;424
B105-060-050-1463734440;060-050;053-013;682;098-013;671;105-050;668;506
B17-060-000-1463734140;060-000;060-000;1149;053-013;702;038-038;693;752
X6-030-025-1463737650;030-025;015-050;715;015-025;700;030-025;691;577
B104-113-038-1463737780;113-038;113-038;709;120-100;693;135-025;683;560
X6-015-025-1463733850;015-025;015-025;901;053-013;683;038-038;678;431
B13-000-000-1463737750;000-000;000-000;1402;015-000;679;015-050;673;1220
B109-038-038-1463737870;038-038;038-038;715;053-013;685;015-025;675;618
X23-075-000-1463736430;075-000;053-013;734;068-038;722;143-013;689;688
X23-075-000-1463736680;075-000;053-013;742;090-100;693;075-000;685;567
B108-090-100-1463734000;090-100;090-100;763;053-013;697;105-025;693;482
X22-105-050-1463738220;105-050;135-025;760;090-100;613;120-025;611;135
B100-173-013-1463736640;173-013;173-013;752;165-025;686;165-050;666;812
B17-060-000-1463736590;060-000;060-000;1050;053-013;705;068-038;682;823
B100-150-000-1463733790;150-000;150-000;1526;120-000;756;173-038;686;1271
B106-083-038-1463737730;083-038;053-013;754;075-025;680;105-025;672;627
B14-000-100-1463736580;000-100;000-100;1310;015-050;688;038-038;685;1069
B100-173-038-1463737660;173-038;173-038;898;158-013;685;120-000;668;848
MB291-180-100-1463734860;180-100;180-100;1418;053-013;665;023-038;661;961
B108-090-100-1463733860;090-100;090-100;723;053-013;703;060-050;692;536
MB315-120-100-1463734630;120-100;120-100;860;090-100;669;105-050;647;451
B100-173-038-1463737830;173-038;173-038;750;158-038;721;165-050;701;704
X7-183-013-1463737110;183-013;150-025;741;183-013;701;135-025;667;524
B106-083-038-1463737620;083-038;053-013;737;090-100;726;105-025;675;628
X5-045-025-1463734600;045-025;015-050;713;015-025;710;038-038;700;610
B105-060-050-1463735100;060-050;090-100;791;060-050;661;053-013;660;367
MB508-030-050-1463734860;030-050;030-050;1134;053-013;706;015-050;687;684
B16-120-000-1463737820;120-000;120-000;1049;143-013;693;053-013;673;912
X5-045-025-1463735080;045-025;030-050;990;053-013;684;015-050;676;784
B100-150-000-1463733960;150-000;150-000;1573;150-050;928;173-038;700;1266
B14-000-100-1463736390;000-100;000-100;1306;038-038;681;105-050;678;1120
B100-173-038-1463738160;173-038;173-038;783;143-013;713;135-075;702;841
X6-030-025-1463737450;030-025;015-050;758;038-038;683;015-025;675;548
B16-120-000-1463734260;120-000;120-000;1310;143-013;688;053-013;675;912
X2-150-025-1463737930;150-025;150-025;739;183-013;690;143-013;679;555
B107-068-038-1463738030;068-038;068-038;911;053-013;721;045-000;672;754
X3-105-025-1463736590;105-025;105-025;723;053-013;699;090-100;698;595
X5-045-025-1463734830;045-025;015-025;733;038-038;733;015-050;714;582
